name,abv,country_id
Maseru,MS,1
Leribe,LB,1
Mafeteng,MF,1
Butha Buthe,BB,1
Thaba Tseka,TT,1
Mokhotlong,MK,1
Quthing,QT,1
Mohale's Hoek,MH,1
Berea,BR,1
Qacha's Neck,QN,1
